file_name,timm_model_name,google_drive_id,version,model_library
PM_model_1.5.38_s1s2_water_flair_convnextv2_base_PT.pth_weights.pth,convnextv2_base,15gug9tQZWDCDz8cRF_sgLegYjDmGMiaQ,1,fastai
PM_model_2.3.4_7ds_smp_convnextv2_nano_PT_state.safetensors,tu-convnextv2_nano,1MjCVMKRkR2qgMV3a3jEP2B3kN6ZSkqLT,2,smp
